Transaction Line Description,Transaction Class,Accounting Date,Transaction Number,Transaction Type Name,Bill-to Customer Name,Bill-to Customer Account Number,Coverage Month,Memo Line Description,Line Amount,Document Currency,Transaction Date,Customer Transaction Reference,Comments,Previous Transaction Number
Dental - Delta Dental PPO - Self + Adult (NA),Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,91.87,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,0.85,USD,7/1/2020,E100000452007,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,0.85,USD,8/1/2020,E100000452008,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,9/3/2020,31001,UCPATH BENEFITS,Mae Torlakson,E10000045,October,OFFICE OF THE PRESIDENT,0.85,USD,9/1/2020,E100000452009,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,9/30/2020,79013,UCPATH BENEFITS,Mae Torlakson,E10000045,November,OFFICE OF THE PRESIDENT,0.85,USD,10/1/2020,E100000452010,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,10/29/2020,99417,UCPATH BENEFITS,Mae Torlakson,E10000045,December,OFFICE OF THE PRESIDENT,0.85,USD,11/1/2020,E100000452011,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,12/1/2020,123257,UCPATH BENEFITS,Mae Torlakson,E10000045,January,OFFICE OF THE PRESIDENT,0.85,USD,12/1/2020,E100000452012,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,1/4/2021,135110,UCPATH BENEFITS,Mae Torlakson,E10000045,January,OFFICE OF THE PRESIDENT,0.85,USD,12/1/2020,E100000452012_1.4.2021,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,1/4/2021,135387,UCPATH BENEFITS,Mae Torlakson,E10000045,February,OFFICE OF THE PRESIDENT,1.7,USD,1/1/2021,E100000452101,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,1/27/2021,147902,UCPATH BENEFITS,Mae Torlakson,E10000045,March,OFFICE OF THE PRESIDENT,1.7,USD,2/1/2021,E100000452102,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,2/25/2021,158902,UCPATH BENEFITS,Mae Torlakson,E10000045,April,OFFICE OF THE PRESIDENT,1.7,USD,3/1/2021,E100000452103,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,4/2/2021,196399,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,1.7,USD,4/1/2021,E100000452104,,
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,1.7,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Employee & Dependent AD&D - AD & D Employee + Spouse/DP -,Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,1.7,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Legal Insurance - ARAG Legal - Self + Adult,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,14.95,USD,7/1/2020,E100000452007,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,14.95,USD,8/1/2020,E100000452008,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,9/3/2020,31001,UCPATH BENEFITS,Mae Torlakson,E10000045,October,OFFICE OF THE PRESIDENT,14.95,USD,9/1/2020,E100000452009,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,9/30/2020,79013,UCPATH BENEFITS,Mae Torlakson,E10000045,November,OFFICE OF THE PRESIDENT,14.95,USD,10/1/2020,E100000452010,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,10/29/2020,99417,UCPATH BENEFITS,Mae Torlakson,E10000045,December,OFFICE OF THE PRESIDENT,14.95,USD,11/1/2020,E100000452011,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,12/1/2020,123257,UCPATH BENEFITS,Mae Torlakson,E10000045,January,OFFICE OF THE PRESIDENT,14.95,USD,12/1/2020,E100000452012,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,1/4/2021,135387,UCPATH BENEFITS,Mae Torlakson,E10000045,February,OFFICE OF THE PRESIDENT,14.95,USD,1/1/2021,E100000452101,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,1/27/2021,147902,UCPATH BENEFITS,Mae Torlakson,E10000045,March,OFFICE OF THE PRESIDENT,14.95,USD,2/1/2021,E100000452102,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,2/25/2021,158902,UCPATH BENEFITS,Mae Torlakson,E10000045,April,OFFICE OF THE PRESIDENT,14.95,USD,3/1/2021,E100000452103,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,4/2/2021,196399,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,14.95,USD,4/1/2021,E100000452104,,
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,14.95,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Legal Insurance - ARAG Legal - Self + Adult (NA),Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,14.95,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Medical - UC Blue & Gold HMO - Self + Adult,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,254.11,USD,7/1/2020,E100000452007,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,254.11,USD,8/1/2020,E100000452008,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,9/3/2020,31001,UCPATH BENEFITS,Mae Torlakson,E10000045,October,OFFICE OF THE PRESIDENT,254.11,USD,9/1/2020,E100000452009,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,9/30/2020,79013,UCPATH BENEFITS,Mae Torlakson,E10000045,November,OFFICE OF THE PRESIDENT,254.11,USD,10/1/2020,E100000452010,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,10/29/2020,99417,UCPATH BENEFITS,Mae Torlakson,E10000045,December,OFFICE OF THE PRESIDENT,254.11,USD,11/1/2020,E100000452011,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,12/1/2020,123257,UCPATH BENEFITS,Mae Torlakson,E10000045,January,OFFICE OF THE PRESIDENT,263.23,USD,12/1/2020,E100000452012,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,1/4/2021,135387,UCPATH BENEFITS,Mae Torlakson,E10000045,February,OFFICE OF THE PRESIDENT,263.23,USD,1/1/2021,E100000452101,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,1/27/2021,147902,UCPATH BENEFITS,Mae Torlakson,E10000045,March,OFFICE OF THE PRESIDENT,263.23,USD,2/1/2021,E100000452102,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,2/25/2021,158902,UCPATH BENEFITS,Mae Torlakson,E10000045,April,OFFICE OF THE PRESIDENT,263.23,USD,3/1/2021,E100000452103,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,4/2/2021,196399,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,263.23,USD,4/1/2021,E100000452104,,
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,263.23,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Medical - UC Blue & Gold HMO - Self + Adult (NA),Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,263.23,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Supplemental Life - Supplemental Life 1x Annual -,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,32.85,USD,7/1/2020,E100000452007,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,32.85,USD,8/1/2020,E100000452008,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,9/3/2020,31001,UCPATH BENEFITS,Mae Torlakson,E10000045,October,OFFICE OF THE PRESIDENT,32.85,USD,9/1/2020,E100000452009,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,9/30/2020,79013,UCPATH BENEFITS,Mae Torlakson,E10000045,November,OFFICE OF THE PRESIDENT,32.85,USD,10/1/2020,E100000452010,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,10/29/2020,99417,UCPATH BENEFITS,Mae Torlakson,E10000045,December,OFFICE OF THE PRESIDENT,32.85,USD,11/1/2020,E100000452011,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,12/1/2020,123257,UCPATH BENEFITS,Mae Torlakson,E10000045,January,OFFICE OF THE PRESIDENT,30.21,USD,12/1/2020,E100000452012,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,1/4/2021,135387,UCPATH BENEFITS,Mae Torlakson,E10000045,February,OFFICE OF THE PRESIDENT,30.21,USD,1/1/2021,E100000452101,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,1/27/2021,147902,UCPATH BENEFITS,Mae Torlakson,E10000045,March,OFFICE OF THE PRESIDENT,30.21,USD,2/1/2021,E100000452102,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,2/25/2021,158902,UCPATH BENEFITS,Mae Torlakson,E10000045,April,OFFICE OF THE PRESIDENT,30.21,USD,3/1/2021,E100000452103,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,4/2/2021,196399,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,30.21,USD,4/1/2021,E100000452104,,
Supplemental Life - Supplemental Life 1x Annual -,Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,30.21,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Supplemental Life - Supplemental Life 1x Annual -,Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,30.21,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Vision - Vision Service Plan - Self + Adult,Invoice,7/1/2020,E100000452007,UCPATH BENEFITS,Mae Torlakson,E10000045,August,OFFICE OF THE PRESIDENT,0,USD,7/1/2020,E100000452007,,
Vision - Vision Service Plan - Self + Adult (NA),Invoice,7/27/2020,1001,UCPATH BENEFITS,Mae Torlakson,E10000045,September,OFFICE OF THE PRESIDENT,0,USD,8/1/2020,E100000452008,,
Vision - Vision Service Plan - Self + Adult (NA),Invoice,4/28/2021,211110,UCPATH BENEFITS,Mae Torlakson,E10000045,May,OFFICE OF THE PRESIDENT,10.76,USD,4/1/2021,E100000452104_4.28.2021,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Vision - Vision Service Plan - Self + Adult (NA),Invoice,4/28/2021,211477,UCPATH BENEFITS,Mae Torlakson,E10000045,June,OFFICE OF THE PRESIDENT,10.76,USD,5/1/2021,E100000452105,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
Vision - Vision Service Plan - Self + Adult (NA),Invoice,5/27/2021,226865,UCPATH BENEFITS,Mae Torlakson,E10000045,July,OFFICE OF THE PRESIDENT,10.76,USD,6/1/2021,E100000452106,"Per UC policy, you are now responsible for the UC contribution to your medical, dental, and/or vision plans.  https://ucnet.universityofcalifornia.edu/forms/pdf/your-guide-to-uc-disability-benefits-fact-sheet.pdf",
